timestamp,reaction
1566773652147,😍
1566773513444,😍
1566739158114,😮
1566720080202,😮
1566662768070,😮
1566637336486,👍
1566633150183,😍
1566409784707,👎
1566324446912,👎
1566319749763,😮
1566319469583,😍
1566234507710,👍
1566198101548,👍
1566131011580,😆
1565977648958,😍
1565707117377,👎
1565694265411,👍
1565692078431,😍
1565685269827,😍
1565638512394,😍
1565634458458,😮
1565551571991,👍
1565551480839,👍
1565515713034,👍
1565515501064,😍
1565509554971,😢
1565443561174,😍
1565422851960,😠
1565296259836,😮
1565217442705,👍
1565217426102,👍
1565213468352,👍
1565196139427,👍
1565180137684,😮
1565119883017,😆
1565104276195,👍
1565096550600,😍
1565047402957,😍
1565021775310,👍
1565021360509,👎
1565020619160,👎
1564997744219,👍
1564992214973,👍
1564949129315,😍
1564942923540,😍
1564914399778,😍
1564839923763,👍
1564783931181,😢
1564768243609,👍
1564745841465,😢
1564736824510,😆
1564565071237,😮
1564413376144,👎
1564389231740,😍
1564328633324,😮
1564328540221,😮
1564315102496,👍
1564260918292,😢
1564252456280,😢
1564250981231,😆
1564247246497,👍
1564247028862,😆
1564169068986,😢
1564155439739,😢
1564044351156,😠
1564044324454,😍
1564044316678,😍
1564044299278,😍
1564044296677,😍
1564044292677,😍
1564044290396,😍
1564044275172,😍
1564044274420,😢
1564044263033,😢
1564044231254,😢
1564044224015,😠
1564044220892,😢
1564044174538,😆
1564044172443,👎
1564044169416,👍
1563693368452,👍
1563693366655,👍
1563355968286,😍
1563317051493,👍
1563296254914,😍
1563276604901,😢
1563271345089,😍
1563171199223,😍
1563139007610,👎
1563134921505,😍
1563091278214,👍
1563024779768,👍
1563007208365,😮
1562944284064,😍
1562941975974,👍
1562848323380,😠
1562623359785,😮
1562618007050,😍
1562599130329,😮
1562526469775,😍
1562448268229,😮
1562405973437,😢
1562324937567,👍
1562269924644,😮
1561708214201,👍
1561634655486,😆
1561625847522,😍
1561567838084,👍
1561550569009,😮
1561486385911,😍
1561486377236,😍
1561307367534,😍
1561307296835,😍
1561307291776,😆
1561099104270,👍
1560963955732,👍
1560932545206,😮
1560925865547,😍
1560853996592,😢
1560814339201,😍
1560798735685,😢
1560689670438,😮
1560539990988,😢
1560524579788,😆
1560523281133,👎
1560518463873,😆
1560147712158,😮
1559918363950,😮
1559735747241,👍
1559719135494,😮
1559466375868,😍
1559399633861,👍
1559245708683,😍
1559054610310,😍
1559044822981,👍
1559038971058,😍
1559036764616,😍
1559036205447,😍
1558990195758,😍
1558989726342,😮
1558986521897,👍
1558774474172,😆
1558774003893,😍
1558680813528,😢
1558563156775,😮
1558393815260,😍
1558289203305,😍
1557599191640,😍
1557335788068,👍
1557296272308,😍
1557231250040,😮
1557158909112,😮
1556213189093,😢
1556131484219,👍
1555748676041,😮
1555684072295,😍
1555447653738,😢
1555446873713,😍
1555446686907,😆
1555446391268,👍
1555445813621,👍
1555403075201,👍
1555337012425,👍
1555336115692,👍
1555170082030,😆
1555009625383,😍
1554930907847,😍
1554820680907,😍
1554628360207,😢
1554408042755,👍
